City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
2015306,Tiksi,88,RU,1597839605,90,71.69,128.87,39.2,8.01
2180815,Tuatapere,92,NZ,1597839606,95,-46.13,167.68,44.01,4.41
3860443,Comodoro Rivadavia,0,AR,1597839481,63,-45.87,-67.5,30.2,13.87
777019,Vardø,40,NO,1597839606,51,70.37,31.11,60.8,11.41
5134295,Rome,90,US,1597839606,82,43.21,-75.46,60.8,0.74
2206854,Gisborne,100,NZ,1597839606,99,-38.65,178.0,53.01,1.01
3521972,Panabá,3,MX,1597839607,92,21.28,-88.27,74.57,1.32
1507390,Dikson,0,RU,1597839607,66,73.51,80.55,57.94,10.74
2274275,Robertsport,100,LR,1597839607,85,6.75,-11.37,77.76,15.64
2021613,Krasnorechenskiy,90,RU,1597839607,89,44.63,135.35,59.34,4.97
1244926,Hambantota,20,LK,1597839607,56,6.12,81.12,93.2,17.22
148442,Astara,40,AZ,1597839608,64,38.5,48.67,82.4,16.11
1853174,Sakaiminato,40,JP,1597839608,88,35.55,133.23,82.4,4.7
694812,Sarata,56,UA,1597839608,21,46.02,29.67,86.23,12.33
293842,Kiryat Gat,2,IL,1597839608,55,31.61,34.76,90.0,14.99
3398457,Hidrolândia,60,BR,1597839608,50,-4.41,-40.44,82.36,7.25
3386213,Touros,77,BR,1597839609,78,-5.2,-35.46,77.0,9.17
2090021,Namatanai,81,PG,1597839609,84,-3.67,152.43,79.05,7.76
5882953,Aklavik,40,CA,1597839609,87,68.22,-135.01,46.4,5.82
3355624,Maltahöhe,0,NA,1597839609,27,-24.83,16.98,58.57,18.57
2173911,Broken Hill,40,AU,1597839609,58,-31.95,141.43,53.6,11.41
4031574,Provideniya,97,RU,1597839610,81,64.38,-173.3,50.97,2.59
1280037,Shache,91,CN,1597839365,17,38.42,77.24,88.59,10.67
1259395,Porbandar,100,IN,1597839610,83,21.64,69.61,82.62,20.69
1162959,Umarkot,54,PK,1597839610,47,25.36,69.74,99.01,17.38
6111862,Port Hardy,75,CA,1597839610,100,50.7,-127.42,55.4,5.44
2191562,Dunedin,98,NZ,1597839572,74,-45.87,170.5,53.01,0.29
1167064,Rasulnagar,40,PK,1597839611,66,32.33,73.78,89.6,11.25
